Provinsi,Total belanja 2018,Index Pembangunan Manusia,Broken Stick 1,
Provinsi Papua,1.36E+12,60.06,0,
Provinsi Kalimantan Barat,9.34E+11,66.98,0,
Provinsi Nusa Tenggara Barat,1.18E+12,67.3,0,
Provinsi Gorontalo,4.45E+11,67.71,0,
Provinsi Maluku,7.40E+11,68.87,0,
Provinsi Lampung,1.54E+12,69.02,0,
Provinsi Sumatera Selatan,1.63E+12,69.39,0,
Provinsi Kalimantan Selatan,1.28E+12,70.17,0,
Provinsi Kalimantan Tengah,8.60E+11,70.42,0,
Provinsi Kalimantan Utara,3.88E+11,70.56,0,
Provinsi Sulawesi Tenggara,1.05E+12,70.61,0,
Provinsi Jambi,1.04E+12,70.65,0,
Provinsi Bangka Belitung,4.72E+11,70.67,0,
Provinsi Jawa Timur,5.15E+12,70.77,0,
Provinsi Sulawesi Selatan,2.67E+12,70.9,0,
Provinsi Jawa Tengah,2.05E+12,71.12,1,
Provinsi Aceh,3.01E+12,71.19,1,
Provinsi Sulawesi Barat,3.30E+11,71.73,1,
Provinsi Banten,1.83E+12,71.95,1,
Provinsi Sulawesi Utara,9.28E+11,72.2,1,
Provinsi Riau,1.89E+12,72.44,1,
Provinsi Kepulauan Riau,6.92E+11,74.84,1,
Provinsi Kalimantan Timur,1.08E+12,75.83,1,
Provinsi DKI Jakarta,1.51E+13,80.47,1,